"10",3
"2008",2
"21",1
"25",1
"2차3차",1
"30",1
"3000",1
"60",3
"가겠습니다우수한",1
"가격",1
"가난",2
"가능",1
"가능성",1
"가동",1
"가슴",1
"가치",4
"각국",1
"각오",1
"각자",1
"갈림길",1
"감사합니다저는",1
"갑시",1
"강경투쟁",1
"강국",1
"강화",2
"개발",5
"개방",3
"개선",5
"개선하겠습니다고령자를",1
"개인",1
"개척",1
"개편",1
"거대",1
"걱정",2
"걱정입니다대응책을",1
"건강",2
"건강성",1
"건강해집니다정부도",1
"건국",1
"걸었습니다모두가",1
"걸음",1
"것들과",1
"것입니다감사합니",1
"것입니다국제사회와",1
"것입니다그러나",1
"것입니다그리고",1
"것입니다대한민국",1
"것입니다세계를",1
"것입니다신화는",1
"것입니다아울러",1
"것입니다우리는",1
"겨울",1
"격조",1
"결별합시다국민",1
"결실",1
"결정입니다그것은",1
"결합",1
"경영",3
"경우",1
"경의",1
"경쟁",4
"경쟁력",3
"경제",9
"경찰",1
"경축사",1
"계기",1
"계속",1
"계층갈등",1
"고령화",2
"고비",1
"고통",3
"고학생",1
"공간",2
"공공",1
"공교육",1
"공동",1
"공동번영",1
"공동체",1
"공부",1
"공영",1
"공유",1
"공장",1
"공적",1
"공정",2
"공직자",1
"과감",1
"과업",1
"과제",1
"과학",6
"과학자",1
"관건입니다교육과",1
"관계",1
"관련",2
"관치교육폐쇄적",1
"관통",1
"교류",1
"교사",1
"교육개혁",1
"교육현장",1
"구상",1
"구조",1
"구축",1
"구현",2
"국가",6
"국가경쟁력",1
"국가발전",1
"국내",1
"국민",24
"국민여러분이",1
"국부",2
"국운",1
"국제",2
"국제협력",1
"국토",1
"국회의원",1
"굴레",1
"권리",1
"귀빈",1
"규모",2
"규제",1
"그것",1
"그렇습니다그렇다고",1
"근로의욕",1
"근로자",1
"근본",1
"글로벌",2
"금붙이",1
"금융시장",1
"기간",1
"기대",1
"기반",4
"기본",1
"기술",5
"기술혁신",1
"기업",7
"기여",1
"기원",1
"기적",3
"기조",1
"기회",6
"끝내고동반",1
"나가겠습니다아시아",1
"나라",12
"나라입니다저는",1
"나아",1
"낙오자",1
"낙오합니다변화를",1
"남바르",1
"남북",2
"남북통일",1
"남북협력",1
"낮춰야합니다그래야",1
"내각총리대신",1
"내었습니다오로지",1
"내외",1
"냉철",1
"너끈히",1
"넓히겠습니다세계",1
"넘어실용",1
"넘어집니다선진국에서는",1
"노동자",3
"노력",3
"노무현김대중김영삼전두환",1
"노사",3
"노사관계",1
"노사분규",1
"노인",1
"노인복지대책",1
"노점상",1
"노조",1
"농민",1
"농어민",2
"높이겠습니다일",1
"누구",1
"눈물",1
"능동적",1
"다양",1
"다운",1
"다음",1
"다저",1
"다지겠습니다국제사회에",1
"다짐",2
"달러",1
"당당",1
"당대",1
"대국",1
"대기업",2
"대물림",1
"대안",1
"대전",1
"대통령",7
"대학",2
"대한민국",16
"대화",1
"도달",1
"도움",1
"도입하겠습니다세금도",1
"독립",1
"돕겠습니다그것이",1
"돕겠습니다주거생활을",1
"돕겠습니다투명하고",1
"동맹관계",2
"동서",1
"동아시아",1
"동족",1
"동참",2
"되겠습니다민주주의와",1
"되길",2
"되었습니다감사하는",1
"되었습니다남들은",1
"되었습니다도움을",1
"됩니다첨단",1
"됩니다학생들",1
"들이",2
"디지털",1
"따뜻",1
"때문",1
"떳떳",1
"뙤약볕",1
"러시아",1
"마련",3
"마음",3
"마음속",1
"만들겠습니다앞으로",1
"만들어냅니다지구",1
"만듭니다양성평등",1
"많습니다특히",1
"맙니다변화",1
"맞이합니다우리는",1
"맞춤",1
"매력",1
"매진",1
"멉니다20년",1
"모두",4
"모색",2
"모습",1
"모습입니다이명박",1
"목숨",2
"목표",1
"몽골",1
"무대",1
"무엇",2
"무하마드",1
"문물",1
"문제",1
"문화",7
"문화국가입니다최근",1
"문화예술",1
"물결",1
"물질",1
"미국과는",1
"미래",4
"미래의",1
"미래지향",2
"민간",1
"민주화",3
"바닷가",1
"바랍니다그리고",1
"바퀴입니다어느",1
"바탕",1
"박이",1
"발전",7
"발전강화시키겠습니다두",1
"발전시키겠습니다안보를",1
"방심",1
"방안",2
"방향",1
"배려",2
"배출",1
"변화",4
"보육",2
"보입니다그러나",1
"보장",1
"보편",1
"복리",1
"복지",2
"복지입니다그렇게",1
"복지정책",1
"봅시다소모적인",1
"부릅니다신화",1
"부모님",1
"부문",1
"부통령",1
"북한",1
"북한이",1
"불안",1
"불필요",1
"비롯",1
"비바람",1
"비핵개방",1
"빅토르",1
"빈부",1
"사람",5
"사람들",2
"사랑",1
"사이",2
"사정",1
"사회",17
"사회권",1
"산업",4
"산업입니다콘텐츠",1
"산업현장",1
"산화",1
"살아납니다공무원",1
"삼덱",1
"샐러리맨",1
"생각",2
"생각합니다그",1
"생산기술",1
"생산성",1
"생산적",2
"생애",1
"생활",6
"서민",1
"서비스",1
"서울특별시장",1
"선대",1
"선언",1
"선열들",1
"선진",3
"선진국",1
"선진화",9
"선포합니다산업화와",1
"성공",2
"성숙",1
"성의",1
"성장",3
"성장동력",1
"성취",1
"세계",15
"세대",1
"세상",1
"세웠고그",1
"소년",1
"소득",1
"소비",1
"소수",1
"소중",2
"소통",1
"손잡고",1
"수레",2
"수요",1
"수준",2
"수행",1
"숨결",1
"스탠더드",1
"시골",1
"시급합니다노령연금을",1
"시급합니다신성장동력을",1
"시급합니다획일적",1
"시대",8
"시대정신",1
"시민",2
"시민권",1
"시설",1
"시스템",1
"시야",1
"시작",3
"시작되었습니다한강",1
"시장",4
"시장개방",1
"시점",1
"시킵니다한국",1
"신뢰",1
"신명",1
"신바람",1
"신화",3
"실용",3
"실질",1
"실천",2
"실패",1
"실현",2
"싶습니다가난해도",1
"아닙니다능동적예방적",1
"아들딸입니다농업농촌농민",1
"아이들",1
"안정",5
"않겠습니다국내외에",1
"않습니다중산층은",1
"앞장",1
"앞장서겠습니다국민이",1
"앞장서겠습니다우리",1
"앞장서겠습니다정부만",1
"야를",1
"야스오",1
"약속드립니다국민을",1
"약속입니다저이명박이",1
"약자",1
"양보",1
"양식",1
"양적",1
"어깨",1
"어려움",1
"어려워졌습니다계층간집단간",1
"어렵습니다국민",1
"언제",1
"엄숙",1
"업그레이드",1
"없습니다협력과",1
"에너지",1
"엔진",2
"엥흐바야르",1
"여러분",9
"여러분700만",1
"여러분경제",1
"여러분끼니조차",1
"여러분누구나",1
"여러분대한민국은",1
"여러분선진화는",1
"여러분우리",1
"여러분저는",1
"여성",2
"여유",1
"역량",4
"역사",4
"역사상",1
"역사적",1
"역점",1
"역할",1
"연구",3
"연대",1
"연방",1
"열겠습니다국회와",1
"열어줍니다기초과학과",1
"열풍",1
"염원입니다남북관계는",1
"영역",1
"오늘",1
"올라갑니다문화로",1
"올라섰습니다이제",1
"올해",1
"외교",3
"외면",1
"외환위기",1
"요청",1
"우대",1
"우리",19
"우리나라",2
"우리는이념",1
"우즈베키스탄",1
"우호관계",1
"원년",1
"원리",1
"원조",1
"원천",1
"원천기술",1
"원칙",1
"위대",2
"위축",1
"위협",2
"유능",1
"유수프",1
"유통",1
"유형",1
"유효",1
"으로",1
"의료혜택",1
"의사결정",1
"의식",1
"의지",1
"이것을기적",1
"이룩",2
"이명",2
"이바지",1
"이상",1
"이슬람",1
"이야기",4
"이야기입니다이",1
"이양하겠습니다공공부문에도",1
"이요",1
"익숙",1
"인간",1
"인도네시아",1
"인류",4
"인식",2
"인재",3
"인종",1
"인프라입니다주거생활",1
"일류국가",3
"일본중국러시아와",1
"일용노동자",1
"일자리",6
"입니다청소년들",1
"입시교육",1
"있습니다국가경쟁력은",1
"있습니다그것은",1
"있습니다그런데",1
"있습니다급변하는",1
"있습니다기상재해가",1
"있습니다꼭",1
"있습니다반드시",1
"있습니다분단국으로서",1
"있습니다시민사회는",1
"있습니다우리도",1
"있습니다저출산",1
"있습니다전통문화",1
"있습니다정치가",1
"자기",2
"자랑",1
"자리",2
"자멸",1
"자부심",1
"자산",1
"자세",1
"자신감",1
"자연",1
"자원",1
"자원과",2
"자원봉사자",1
"자유무역협정",1
"자율",1
"자율그리고",1
"자율적",1
"자율화",1
"잠재력",1
"잣대",2
"장기계획",1
"장롱",1
"장병",1
"장애인",1
"장엄",1
"잦아들게",1
"재산",1
"저력",1
"저만치",1
"저출산",1
"적극",5
"적성",2
"적응",2
"전략",1
"전반",1
"전선",2
"전진",1
"전통",3
"전화위복",1
"절실",1
"젊은이",1
"젊음",1
"점진적",1
"접목",1
"정부",10
"정부큰",1
"정상",1
"정상화되고사교육",1
"정신",2
"정책",2
"정치",3
"정치가",1
"정치관행",1
"제17대",1
"제도",2
"제시",1
"제약",1
"조직",1
"조화",1
"존경",11
"존중",3
"종교",1
"좌우",1
"좌절",1
"주거",1
"주기",1
"주년",1
"주력하겠습니다그래야",1
"주목",1
"주민",2
"주역",1
"주역입니다누구나",1
"주역입니다여성",1
"주장",1
"주택",2
"줄어들었습니다과격한",1
"줍코프",1
"중견",1
"중소기업",1
"중요합니다특히",1
"지구",1
"지구상",1
"지냈습니다그리고",1
"지도",1
"지도자",1
"지성",1
"지양",1
"지위",1
"지평",1
"지혜",1
"지혜입니다인간과",1
"직장",1
"진실",1
"진이",1
"진출",1
"진취",1
"차별",1
"차이",1
"참석",1
"참여",2
"창달",1
"창업",1
"창의",3
"창의그리고",1
"창의력",1
"창조",1
"창출",2
"책임",3
"첨단기술",1
"청년",2
"청소년",1
"총리",2
"최고",1
"최단",1
"최선",1
"추격",1
"추구",1
"추세입니다미래",1
"추진",1
"출발",1
"취약",1
"취임합니다한없이",1
"치열",1
"친구",1
"친환경친문화적",1
"카리모프",1
"칼라",1
"캄보디아",1
"타고",1
"탄소",1
"통일",4
"통합하겠습니다문화를",1
"투명",1
"투자",3
"투쟁",2
"튼튼",1
"펴겠습니다평화유지군에",1
"펴나가겠습니다국토",1
"편안",3
"평화",4
"포기",1
"풀어가겠습니다남북한",1
