"TailNum","count","m_dist","m_delay"
"N0EGMQ",40,1095.25,1.91891891891892
"N10156",317,801.719242902208,8.19935691318328
"N10575",94,631.531914893617,18.1489361702128
"N11106",308,774.980519480519,10.1016393442623
"N11107",345,768.113043478261,8.05278592375367
"N11109",331,772.453172205438,10.28
"N11113",282,772.829787234043,4.05714285714286
"N11119",130,790.238461538462,7.3968253968254
"N11121",333,774.801801801802,6.74085365853659
"N11127",330,792.860606060606,8.41768292682927
"N11137",296,770.77027027027,9.78231292517007
"N11140",194,789.432989690722,10.5904255319149
"N11150",266,799.507518796992,7.41509433962264
"N11155",172,740.575581395349,10.8588235294118
"N11164",188,776.686170212766,6.64171122994652
"N11165",130,760.246153846154,8.96875
"N11176",109,749.706422018349,6.91588785046729
"N11181",197,784.045685279188,13.1658031088083
"N11184",245,782.885714285714,7.47107438016529
"N11187",213,771.258215962441,8.40952380952381
"N11189",220,788.331818181818,8.87096774193548
"N11191",184,771.407608695652,6.55494505494505
"N11192",257,762.5953307393,7.53515625
"N11193",235,769.851063829787,11.0701754385965
"N11194",281,785.925266903915,6.67741935483871
"N11199",275,771.061818181818,8.30147058823529
"N11206",220,1153.96818181818,6.00909090909091
"N11535",290,600.806896551724,8.14893617021277
"N11536",149,601.885906040268,9.30281690140845
"N11539",285,599.157894736842,9.36917562724014
"N11544",92,614.217391304348,7.58241758241758
"N11547",188,623.005319148936,11.1129032258065
"N11548",266,607.46992481203,6.53409090909091
"N11551",117,600.153846153846,9.08849557522124
"N11565",239,629.811715481172,8.63404255319149
"N11612",286,719.804195804196,4.98251748251748
"N11641",232,794.297413793103,5.87826086956522
"N12109",38,1220.55263157895,14.3421052631579
"N12114",52,1223.48076923077,15.7884615384615
"N12116",28,1242.46428571429,9.89285714285714
"N12122",118,773.313559322034,3.28318584070796
"N12125",37,1274.40540540541,13.1081081081081
"N12126",226,780.535398230089,7.97321428571429
"N12135",289,818.60553633218,12.547703180212
"N12136",101,739.950495049505,6.25252525252525
"N12142",197,800.477157360406,10.0051282051282
"N12145",282,779.379432624114,8.23214285714286
"N12157",112,755.848214285714,10.8392857142857
"N12160",166,778.692771084337,5.99393939393939
"N12163",120,789.516666666667,13.0847457627119
"N12166",232,780.663793103448,6.04803493449782
"N12167",194,768.180412371134,9.13541666666667
"N12172",203,759.019704433498,12.345
"N12175",175,774.045714285714,8.79428571428571
"N12195",303,768.831683168317,7.41333333333333
"N12201",315,773.6,7.09554140127389
"N12216",198,1098.48484848485,1.80710659898477
"N12218",255,1117.08235294118,8.66929133858268
"N12221",203,1080.90640394089,6.15270935960591
"N12225",241,1168.58506224066,7.62761506276151
"N12238",235,1135.73617021277,8.59574468085106
"N124US",1,912,23
"N12540",285,602.119298245614,6.17142857142857
"N12552",172,661.575581395349,3.64705882352941
"N12563",171,608.46783625731,12.7882352941176
"N12564",186,566.322580645161,8.52513966480447
"N12567",224,590.392857142857,7.28310502283105
"N12569",158,641.962025316456,10.0891719745223
"N126AT",16,696,14.5625
"N12900",150,617.653333333333,13.1156462585034
"N12921",328,619.393292682927,12.4643962848297
"N12922",310,582.445161290323,7.22653721682848
"N12924",129,613.077519379845,6.6171875
"N12957",192,642.208333333333,12.40625
"N12967",197,607.441624365482,7.97969543147208
"N12996",308,603.029220779221,6.99668874172185
"N13110",30,1286.5,18.8
"N13113",33,1315.36363636364,11.7878787878788
"N13118",326,784.975460122699,9.44582043343653
"N13123",300,737.36,11.1194539249147
"N13124",89,773.584269662921,6.70786516853933
"N13132",197,745.715736040609,8.02061855670103
"N13133",322,780.826086956522,9.59119496855346
"N13138",53,1247.03773584906,5.67307692307692
"N13161",245,766.102040816327,8.77272727272727
"N131EV",66,890.030303030303,12
"N13202",286,799.129370629371,8.67142857142857
"N13248",245,1132.28571428571,5.70491803278689
"N132EV",63,869.555555555556,5.9344262295082
"N133EV",89,887.089887640449,8.91860465116279
"N134EV",77,808.064935064935,16.7402597402597
"N13538",239,572.661087866109,9.33898305084746
"N13550",188,598.021276595745,8.83783783783784
"N13553",269,604.323420074349,7.60754716981132
"N13566",154,576.383116883117,9.96732026143791
"N135EV",82,875.146341463415,15.6172839506173
"N13624",294,744.343537414966,2.72013651877133
"N136EV",60,871,12.6551724137931
"N13716",200,1054.175,4.595
"N13718",251,1054.1593625498,0.552
"N13750",243,1049.86419753086,3.52263374485597
"N137EV",94,888.095744680851,4.69318181818182
"N138EV",86,853.244186046512,9.84523809523809
"N13903",307,613.28338762215,10.8566666666667
"N13908",125,629.616,8.99193548387097
"N13913",333,595.258258258258,8.46461538461539
"N13914",319,614.028213166144,8.03164556962025
